"CASN"	"Compound"	"Assay"	"Endpoint"	"S9"	"BMR"	"EXP_loglik"	"EXP_AIC"	"EXP_BMDL"	"EXP_BMD"	"EXP_BMDU"	"HILL_loglik"	"HILL_AIC"	"HILL_BMDL"	"HILL_BMD"	"HILL_BMDU"	"GEO_BMDL"	"GEO_BMD"	"GEO_BMDU"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"+"	0.05	-34.69	79.38	3030	15000	17400	-35.14	80.28	4280	9400	14500	"3601.1664776847"	"11874.3420870379"	"15883.9541676498"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"-"	0.05	-24.19	58.38	10.9	140	214	-24.33	58.66	25.9	140	201	"16.8020832041744"	"140"	"207.398167783614"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"+"	0.05	-27.83	65.66	1520	4400	5590	-28.55	67.1	1720	3200	4950	"1616.91063451262"	"3752.33260785874"	"5260.2756581761"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"-"	0.05	-29.84	69.68	1200	4200	5350	-30.62	71.24	1470	2900	4570	"1328.15661727072"	"3489.98567332303"	"4944.64356652732"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"CometChip"	"% DNA in tail"	"-"	0.05	16.25	-22.5	22.6	37	55.3	16.78	-23.56	28.1	47	69.4	"25.2003968222725"	"41.7013189239861"	"61.9501412427768"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MicroFlow"	"% Micronucleus"	"-"	0.05	-22.54	55.08	4.61	14	26.5	-22.56	55.12	4.58	14	27.8	"4.59497551680093"	"14"	"27.1422180375886"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"%Cytotoxicity"	"-"	0.05	6.11	-2.22	1.33	8.5	26.1	7.2	-4.4	4.12	14	25.8	"2.34085454481905"	"10.9087121146357"	"25.9495664703671"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.05	37.55	-65.1	2.31	3.3	4.7	41.13	-72.26	3.84	5.1	6.45	"2.97832167503781"	"4.1024382993532"	"5.50590592000989"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p53 shift"	"-"	0.05	36.47	-62.94	4.29	7.3	11.3	37.6	-65.2	5.41	9.1	13.7	"4.81756162389232"	"8.1504601097116"	"12.4422666745252"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p-H3"	"-"	0.05	8.33	-6.66	1.44	25	35	8.23	-6.46	0.785	22	33.5	"1.06320270880016"	"23.4520787991171"	"34.2417873365279"
